isClause	rCase
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	acc
0	acc
0	nom
0	acc
1	ger
1	inf
0	acc
1	sub
0	nom
1	sub
0	nom
0	nom
0	acc
1	ind
0	nom
1	inf
0	nom
0	nom
0	nom
0	acc
0	nom
0	acc
0	nom
0	nom
0	acc
1	inf
0	acc
0	nom
0	nom
0	nom
1	inf
0	acc
1	inf
0	abl
0	acc
0	acc
0	abl
0	nom
0	abl
0	nom
0	nom
0	nom
1	inf
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
1	par
0	nom
0	nom
0	nom
0	nom
0	dat
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	dat
1	inf
0	acc
0	acc
1	sub
0	nom
0	nom
0	nom
0	nom
1	inf
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
1	inf
0	nom
1	inf
1	inf
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
1	sub
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	dat
0	nom
0	abl
0	nom
0	dat
0	nom
0	nom
0	abl
0	abl
0	nom
0	dat
0	abl
0	acc
0	abl
0	nom
0	dat
0	nom
0	acc
0	nom
0	nom
1	ind
0	nom
0	nom
0	abl
0	nom
0	acc
0	abl
0	abl
0	nom
0	abl
1	inf
0	nom
0	nom
0	acc
0	nom
0	abl
0	nom
0	acc
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
1	inf
0	nom
0	nom
0	nom
0	nom
0	acc
1	inf
0	acc
0	acc
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	acc
1	sub
1	inf
0	acc
0	nom
0	nom
0	abl
0	nom
1	ind
0	nom
1	inf
1	ind
0	nom
0	gen
0	nom
0	abl
0	nom
1	par
0	nom
0	nom
1	inf
1	sub
1	sub
0	abl
0	nom
0	nom
0	nom
0	acc
0	nom
0	dat
0	nom
0	acc
0	nom
0	nom
1	inf
1	inf
0	nom
0	nom
0	nom
1	inf
0	nom
0	dat
1	sub
0	nom
0	nom
0	abl
0	nom
0	nom
0	abl
0	nom
0	nom
0	nom
1	ind
1	ind
0	nom
0	nom
0	nom
0	nom
1	inf
0	acc
0	abl
0	nom
0	acc
0	nom
0	abl
0	abl
0	nom
0	acc
0	nom
1	inf
0	nom
0	nom
1	ind
0	nom
0	nom
1	inf
0	nom
0	dat
0	dat
0	dat
0	acc
0	acc
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
1	inf
0	nom
0	nom
1	inf
0	abl
0	nom
1	inf
0	acc
0	nom
0	acc
0	nom
0	nom
0	nom
1	inf
0	acc
0	nom
0	nom
0	nom
0	nom
1	inf
0	abl
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
1	inf
0	acc
0	abl
0	nom
0	nom
1	inf
0	acc
0	acc
0	nom
0	nom
0	nom
0	nom
0	abl
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	abl
0	nom
0	nom
0	nom
0	nom
0	nom
0	abl
0	nom
0	nom
0	acc
0	acc
1	inf
0	nom
0	acc
0	acc
0	nom
0	acc
0	abl
0	acc
0	nom
0	nom
0	nom
0	acc
0	acc
0	acc
0	nom
1	inf
0	nom
0	nom
1	inf
0	nom
0	nom
0	nom
0	dat
0	nom
0	nom
0	acc
1	inf
0	nom
0	nom
0	nom
1	inf
0	acc
1	inf
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	abl
0	nom
0	acc
0	nom
0	abl
0	acc
0	dat
1	sub
1	sub
0	dat
0	dat
0	dat
0	nom
0	nom
0	dat
1	sub
1	inf
0	dat
0	dat
1	sub
0	dat
0	dat
0	nom
0	nom
0	nom
0	acc
1	sub
0	nom
0	dat
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
1	sub
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
1	inf
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
1	ind
1	ind
1	ind
0	nom
0	nom
0	acc
0	acc
0	nom
0	nom
0	nom
1	inf
0	nom
1	inf
1	inf
0	nom
1	inf
0	abl
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
1	inf
1	ind
0	nom
0	acc
0	acc
0	acc
0	abl
0	acc
0	acc
0	nom
0	acc
1	inf
1	sub
1	inf
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
1	inf
0	abl
0	nom
0	nom
0	nom
0	acc
0	acc
0	acc
0	nom
0	nom
1	ind
0	nom
0	nom
1	ind
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	acc
0	acc
0	nom
0	acc
0	acc
0	nom
0	acc
0	nom
0	nom
0	acc
0	acc
0	acc
0	acc
0	acc
0	dat
0	nom
0	nom
1	inf
0	nom
1	inf
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
1	inf
0	nom
0	acc
0	acc
0	acc
1	inf
0	nom
0	nom
0	nom
0	acc
0	acc
0	nom
1	ind
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	acc
0	nom
0	acc
0	nom
0	acc
0	nom
1	inf
0	acc
0	nom
0	acc
0	abl
0	acc
0	nom
0	abl
0	nom
1	inf
0	dat
0	acc
0	nom
1	sub
0	dat
0	nom
0	abl
0	nom
0	nom
0	nom
0	nom
0	dat
0	acc
1	inf
0	nom
0	abl
0	nom
0	acc
0	nom
0	nom
0	nom
0	dat
0	abl
0	nom
0	acc
0	nom
0	nom
0	nom
0	acc
0	acc
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	acc
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
1	inf
0	acc
0	acc
0	nom
0	nom
1	inf
0	acc
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
1	inf
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	acc
0	acc
1	inf
0	nom
0	nom
0	nom
1	ind
0	nom
0	acc
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	acc
0	nom
1	sub
0	nom
1	inf
0	acc
0	acc
0	nom
0	acc
0	nom
0	nom
0	acc
0	nom
0	acc
0	nom
0	acc
0	nom
0	nom
1	inf
0	nom
1	inf
1	inf
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
1	ind
0	nom
0	nom
0	nom
1	ind
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	abl
0	nom
1	inf
1	inf
0	acc
0	nom
0	nom
0	acc
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	acc
0	nom
0	abl
0	nom
0	acc
0	abl
0	nom
0	acc
0	nom
1	inf
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	abl
0	nom
0	acc
0	acc
0	nom
0	nom
0	acc
0	nom
0	abl
0	acc
0	acc
0	nom
0	nom
0	nom
0	acc
0	acc
0	acc
1	inf
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	acc
0	nom
0	acc
0	nom
0	dat
0	acc
0	nom
0	nom
0	acc
0	dat
0	nom
0	acc
0	nom
0	acc
0	nom
0	nom
0	dat
0	nom
0	acc
0	acc
1	sub
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	abl
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	acc
0	nom
0	nom
0	nom
1	ind
0	nom
0	gen
0	gen
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	acc
0	nom
0	acc
0	nom
0	acc
1	sub
0	nom
0	acc
0	nom
0	abl
1	sub
0	nom
0	abl
0	nom
0	acc
0	nom
0	nom
0	abl
0	abl
0	nom
0	acc
0	nom
0	acc
0	nom
0	abl
1	sub
0	nom
0	acc
0	nom
0	nom
0	abl
0	abl
0	nom
0	nom
0	nom
0	nom
1	sub
0	acc
1	sub
0	nom
1	inf
0	nom
1	ind
1	ind
0	nom
0	nom
0	nom
0	acc
1	inf
0	nom
0	nom
1	inf
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
1	sub
0	abl
0	nom
0	nom
0	nom
1	sub
0	nom
0	abl
0	nom
0	nom
0	nom
1	sub
0	nom
0	nom
1	sub
0	nom
0	nom
0	gen
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	gen
0	nom
0	acc
1	inf
0	nom
1	inf
0	acc
0	nom
0	nom
0	acc
0	abl
1	inf
0	nom
1	inf
0	nom
0	acc
0	nom
0	gen
0	nom
0	nom
0	nom
0	nom
0	nom
0	abl
0	abl
0	acc
0	nom
0	nom
0	nom
0	abl
1	inf
0	nom
0	nom
0	abl
0	nom
0	nom
0	dat
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	gen
0	nom
1	inf
1	inf
0	nom
0	nom
0	abl
0	nom
0	nom
0	acc
0	dat
0	nom
0	nom
1	ind
1	inf
0	nom
0	dat
0	dat
0	nom
0	nom
0	dat
0	nom
0	nom
0	nom
0	nom
1	sub
0	nom
0	nom
0	acc
1	inf
0	nom
1	inf
0	nom
0	nom
1	inf
0	nom
0	nom
1	inf
0	nom
0	nom
0	acc
0	acc
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
1	inf
1	sub
0	nom
1	imp
0	acc
0	acc
0	nom
1	inf
0	acc
0	nom
0	acc
0	abl
0	nom
0	acc
0	gen
1	inf
1	inf
0	acc
0	acc
0	acc
0	nom
1	inf
0	acc
0	acc
0	nom
1	inf
0	nom
0	nom
0	nom
1	ind
0	abl
0	nom
1	inf
0	acc
0	acc
0	acc
0	acc
0	nom
0	nom
0	nom
0	nom
0	dat
0	acc
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	acc
0	nom
0	nom
0	acc
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	abl
0	nom
0	dat
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	abl
0	nom
0	abl
0	nom
0	acc
0	nom
0	acc
0	nom
0	nom
0	acc
1	inf
0	dat
0	nom
0	abl
0	acc
0	nom
0	dat
0	acc
0	nom
0	acc
0	acc
0	nom
0	acc
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
1	ind
1	ind
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	acc
0	acc
0	acc
0	nom
0	nom
0	nom
0	acc
0	acc
0	acc
0	acc
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
1	ind
0	nom
0	nom
0	acc
0	nom
1	inf
0	acc
0	dat
0	nom
0	acc
1	sub
0	dat
0	nom
0	nom
0	nom
0	nom
0	acc
0	acc
0	acc
0	abl
0	acc
0	nom
1	inf
0	acc
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
1	inf
0	nom
1	inf
0	acc
0	dat
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
1	inf
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
1	ind
0	nom
0	dat
0	nom
1	inf
0	nom
0	acc
0	nom
0	acc
1	inf
0	nom
0	nom
0	acc
0	nom
0	acc
0	nom
0	abl
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	acc
0	dat
0	acc
0	nom
0	nom
0	nom
0	acc
0	nom
0	acc
0	nom
0	nom
1	inf
0	nom
0	dat
0	nom
0	acc
0	acc
0	nom
0	nom
0	nom
0	nom
1	inf
0	nom
0	nom
0	abl
0	abl
0	nom
0	nom
1	ind
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	gen
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	dat
0	dat
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	abl
0	nom
0	nom
1	sub
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
1	ger
1	ind
0	nom
0	abl
0	nom
0	nom
0	nom
0	abl
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
1	inf
0	nom
0	nom
0	acc
0	acc
0	nom
0	acc
0	nom
0	abl
0	nom
0	acc
0	nom
0	abl
0	acc
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	abl
0	acc
0	nom
0	acc
0	nom
0	acc
0	nom
0	acc
0	nom
1	ind
0	nom
0	acc
0	nom
1	ind
0	nom
0	acc
0	nom
1	inf
0	nom
0	acc
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
1	sub
0	nom
0	nom
0	abl
0	nom
0	acc
1	ind
0	nom
1	inf
0	nom
0	gen
0	gen
0	nom
0	dat
0	dat
1	ind
0	nom
0	acc
1	inf
0	acc
0	nom
0	dat
0	nom
1	inf
0	nom
0	dat
0	nom
0	acc
1	inf
0	nom
0	nom
0	nom
0	dat
0	dat
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	abl
0	abl
0	nom
1	sub
0	abl
0	nom
0	nom
1	sub
0	nom
0	nom
0	abl
0	nom
0	abl
0	nom
0	acc
0	acc
0	acc
0	acc
0	nom
0	acc
1	inf
0	acc
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
1	sub
0	nom
0	nom
0	nom
0	dat
0	nom
0	acc
0	nom
0	dat
0	nom
0	abl
0	nom
1	ind
1	ind
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	dat
0	nom
0	dat
0	nom
0	acc
0	dat
0	dat
0	gen
0	nom
0	acc
0	nom
0	nom
0	nom
0	acc
0	dat
0	nom
0	acc
0	nom
0	nom
1	inf
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	acc
0	acc
0	nom
0	dat
0	dat
0	nom
0	acc
0	dat
0	nom
0	nom
0	nom
1	ger
0	dat
0	nom
0	dat
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	dat
0	nom
1	inf
0	nom
0	abl
1	ind
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	abl
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
1	sub
0	nom
0	nom
1	sub
0	nom
0	gen
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	acc
0	nom
1	inf
0	nom
0	gen
0	nom
0	nom
0	acc
0	acc
0	nom
0	nom
0	acc
1	ger
0	acc
1	sub
0	acc
0	acc
0	nom
0	acc
0	acc
0	nom
0	acc
0	nom
0	dat
0	nom
0	nom
0	nom
0	dat
0	nom
0	nom
1	inf
0	acc
0	acc
0	dat
0	nom
0	acc
0	acc
0	nom
1	inf
0	dat
0	nom
0	acc
0	nom
0	nom
1	inf
0	nom
1	inf
0	nom
0	nom
0	nom
0	acc
0	acc
1	ind
0	acc
0	nom
0	acc
0	nom
1	inf
0	acc
0	acc
0	gen
1	inf
0	acc
0	acc
0	nom
0	nom
0	nom
0	nom
0	acc
0	acc
0	dat
0	nom
0	nom
0	nom
0	acc
0	nom
0	dat
0	dat
0	nom
0	nom
0	nom
0	nom
0	nom
1	inf
1	ind
0	nom
0	nom
1	inf
0	abl
0	nom
0	acc
0	acc
0	nom
0	nom
0	dat
0	nom
0	nom
0	nom
0	nom
1	inf
0	nom
0	nom
0	dat
0	nom
0	acc
0	nom
0	nom
0	dat
0	nom
0	nom
0	nom
0	acc
1	inf
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	acc
0	nom
0	dat
1	inf
1	sub
0	nom
0	acc
0	nom
0	abl
0	nom
1	ind
1	ind
0	nom
0	nom
0	abl
1	ind
0	nom
0	acc
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	abl
0	nom
1	inf
1	ind
0	acc
0	acc
0	nom
1	sub
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	acc
1	ind
0	acc
0	nom
1	ind
0	nom
0	nom
0	nom
0	nom
0	acc
1	ind
0	nom
0	acc
0	acc
0	nom
0	nom
1	par
0	nom
0	nom
1	ind
0	nom
1	ind
0	abl
0	nom
1	inf
0	nom
1	inf
0	abl
0	abl
0	abl
0	nom
1	inf
0	nom
1	ger
0	acc
0	dat
0	nom
1	inf
0	abl
0	nom
0	acc
0	acc
0	acc
1	inf
0	abl
0	nom
1	ger
0	nom
0	nom
0	dat
0	nom
0	acc
0	acc
0	nom
0	acc
0	nom
0	acc
0	abl
0	abl
0	nom
0	nom
0	nom
0	acc
0	nom
1	inf
0	nom
0	acc
1	inf
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
1	sub
0	abl
0	nom
0	abl
0	acc
0	nom
0	nom
0	abl
0	abl
0	acc
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	acc
0	nom
0	nom
1	inf
0	nom
0	nom
0	acc
0	acc
0	nom
1	inf
1	inf
0	nom
0	nom
0	acc
0	acc
0	acc
0	nom
0	nom
0	nom
0	nom
1	inf
1	inf
0	nom
0	nom
0	acc
0	acc
0	acc
0	acc
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	abl
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
1	inf
0	nom
1	inf
0	gen
0	gen
0	acc
1	sub
0	nom
0	acc
0	nom
0	nom
0	abl
0	acc
0	nom
1	ind
0	nom
0	dat
0	nom
0	dat
0	nom
0	acc
0	abl
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
1	sub
0	nom
0	acc
0	nom
0	nom
1	inf
0	acc
0	nom
0	nom
0	acc
0	abl
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	acc
0	nom
0	nom
0	acc
0	nom
0	abl
0	nom
0	abl
0	nom
0	nom
0	nom
0	nom
0	dat
0	nom
1	ind
1	ind
0	nom
0	nom
1	inf
0	acc
0	acc
0	nom
1	inf
0	acc
0	nom
1	inf
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
1	inf
0	nom
0	nom
0	acc
0	acc
1	inf
1	sub
0	nom
0	nom
0	nom
0	nom
0	nom
1	inf
1	inf
0	acc
0	acc
0	acc
1	ind
0	gen
1	inf
0	acc
0	acc
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
1	inf
0	nom
0	abl
0	nom
1	ind
1	inf
0	acc
0	abl
0	abl
0	nom
0	nom
1	inf
0	nom
0	nom
0	nom
0	nom
0	acc
0	acc
0	nom
0	abl
0	acc
0	nom
0	acc
0	nom
0	nom
0	acc
0	acc
0	nom
0	nom
0	acc
0	nom
0	nom
0	acc
0	dat
0	acc
0	nom
0	nom
0	acc
0	nom
0	nom
1	ind
0	nom
1	inf
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
1	sub
0	acc
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	acc
0	nom
0	abl
0	nom
0	nom
1	ind
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	dat
0	dat
0	nom
0	nom
1	inf
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
1	inf
0	abl
0	acc
0	nom
0	nom
0	nom
0	dat
0	nom
0	dat
0	acc
0	nom
0	nom
0	dat
0	nom
0	nom
0	nom
0	acc
0	nom
0	acc
0	nom
0	dat
0	nom
0	nom
1	sub
0	acc
0	nom
0	acc
0	nom
1	sub
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	dat
0	nom
0	nom
0	dat
0	nom
0	nom
1	sub
0	nom
0	acc
0	acc
0	acc
0	nom
0	nom
0	nom
0	dat
0	nom
0	acc
1	sub
0	nom
0	dat
0	nom
0	dat
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	acc
0	acc
0	nom
0	nom
0	acc
0	nom
1	inf
0	acc
0	dat
0	nom
0	acc
0	nom
0	nom
0	nom
1	sub
0	acc
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	acc
0	nom
0	gen
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
1	inf
0	nom
0	nom
0	dat
0	dat
0	nom
1	inf
0	nom
0	acc
0	acc
0	acc
0	nom
1	inf
0	abl
1	ind
0	nom
1	inf
0	acc
0	acc
0	acc
0	nom
0	acc
1	ind
0	nom
0	acc
0	nom
1	sub
0	nom
0	nom
0	dat
0	acc
0	NULL
0	dat
0	nom
0	acc
0	nom
0	nom
0	acc
0	nom
1	inf
0	acc
0	nom
0	dat
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
1	ger
1	ind
0	nom
0	nom
1	sub
0	abl
0	nom
0	abl
1	inf
0	acc
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
1	ind
1	ind
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	acc
0	acc
0	nom
0	nom
0	acc
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	dat
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	dat
0	nom
0	dat
0	abl
0	nom
0	nom
0	nom
0	nom
0	nom
0	dat
0	nom
0	abl
0	nom
0	nom
0	acc
0	acc
1	sub
0	abl
0	nom
0	nom
0	nom
0	nom
0	acc
0	abl
0	nom
1	inf
0	acc
0	acc
1	inf
0	acc
0	acc
1	inf
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	abl
0	abl
1	inf
0	abl
0	abl
0	acc
0	abl
0	nom
1	ind
1	inf
0	nom
0	abl
0	abl
0	nom
1	sub
0	nom
0	dat
1	sub
0	abl
1	inf
0	nom
1	ind
0	nom
0	acc
0	nom
0	abl
0	nom
1	ind
0	nom
1	inf
0	dat
0	acc
0	nom
0	acc
0	nom
0	nom
0	acc
0	nom
0	acc
0	abl
0	nom
1	inf
0	acc
0	nom
0	acc
1	inf
0	acc
1	inf
0	nom
0	abl
0	nom
1	ind
0	nom
1	inf
0	nom
1	sub
0	nom
0	abl
1	inf
0	acc
0	abl
0	nom
0	nom
1	ind
0	nom
0	acc
1	inf
1	inf
0	acc
0	acc
0	acc
0	acc
0	nom
0	acc
0	gen
1	inf
1	inf
0	acc
0	abl
0	acc
0	abl
1	inf
0	acc
0	acc
0	nom
1	inf
0	nom
1	inf
0	nom
1	inf
0	acc
0	acc
0	nom
0	acc
0	nom
1	inf
0	acc
0	acc
0	nom
0	nom
0	nom
0	gen
0	nom
0	abl
0	nom
1	inf
1	inf
0	acc
0	acc
0	acc
0	acc
0	abl
0	nom
1	inf
0	nom
0	nom
0	nom
0	nom
0	nom
0	dat
0	nom
0	acc
0	nom
0	nom
0	dat
0	nom
0	nom
0	abl
0	nom
0	nom
0	nom
0	abl
0	nom
0	abl
0	nom
0	nom
0	nom
0	nom
0	nom
1	inf
0	acc
0	nom
0	nom
0	nom
0	acc
0	nom
0	acc
1	ind
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
1	ind
0	nom
0	dat
0	acc
0	nom
0	acc
0	acc
0	nom
0	acc
0	nom
0	dat
0	nom
0	abl
0	nom
0	abl
0	acc
0	dat
0	nom
0	acc
0	abl
0	nom
0	acc
1	inf
0	nom
0	acc
0	nom
0	acc
0	nom
1	inf
0	nom
0	nom
0	nom
0	nom
0	gen
0	gen
1	sub
0	nom
0	abl
1	inf
1	sub
0	nom
0	nom
0	acc
0	acc
0	nom
0	acc
0	nom
1	inf
0	nom
0	nom
0	acc
0	nom
0	nom
0	acc
0	abl
0	nom
0	acc
0	nom
1	inf
1	sub
0	acc
0	nom
0	nom
0	abl
0	acc
0	nom
0	nom
0	acc
0	acc
0	nom
0	acc
0	nom
0	nom
0	acc
0	acc
0	acc
0	nom
0	nom
0	acc
0	nom
0	abl
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
1	sub
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	acc
0	nom
0	nom
0	acc
1	inf
0	nom
0	acc
0	nom
1	sub
1	sub
0	nom
0	acc
0	acc
0	acc
0	nom
0	acc
0	acc
0	nom
0	acc
0	nom
0	acc
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	dat
0	nom
1	inf
0	nom
0	nom
0	nom
1	ind
0	nom
0	nom
0	nom
0	nom
0	acc
0	abl
0	abl
0	nom
0	nom
0	nom
0	acc
1	sub
0	nom
0	acc
1	inf
1	sub
0	nom
0	acc
1	inf
0	acc
0	nom
0	nom
1	sub
0	nom
0	nom
1	inf
1	sub
0	nom
0	nom
0	nom
1	inf
0	acc
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
1	inf
0	acc
0	acc
0	dat
0	nom
0	acc
0	nom
0	nom
0	nom
1	inf
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	abl
0	nom
0	nom
0	acc
0	nom
1	ind
0	nom
0	nom
1	inf
0	acc
0	acc
0	nom
0	nom
0	nom
0	nom
0	nom
0	acc
0	acc
0	abl
0	acc
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	nom
0	acc
0	nom
0	nom
0	nom
0	acc
